bokning_id,medlem_id,medlemstyp,medlem_startdatum,medlem_slutdatum,månadskostnad,födelseår,pass_id,passnamn,anläggning,instruktör,bokningsdatum,passdatum,passtid,status,feedback_text,feedbackdatum,feedback_betyg
BOK-000028,MED-10155,Student,2024-05-06,2025-02-05,249,1995,PASS-2024-09-24-028,Spinning,Stockholm Södermalm,Anna Lindberg,2024-09-23,2024-09-24,19:00,Genomförd,,,
BOK-000029,MED-10211,Bas,2023-07-09,2024-10-22,349,1981,PASS-2024-08-22-029,Spinning,Stockholm Södermalm,Anna Lindberg,2024-08-21,2024-08-22,18:00,Genomförd,,,
BOK-000030,MED-10277,Bas,2023-07-28,"July 28, 2025",349,2030,PASS-2024-11-17-030,Yoga,Västerås,Klara Svensson,2024-11-10,2024-11-17,17:00,Deltog,"Helt ok, men har varit på bättre.",2024-11-17,3
BOK-000031,MED-10091,Student,2023-09-20,2024-10-21,249,1985,PASS-2024-10-19-031,styrka,STOCKHOLM CITY,Erik Johansson,2024-10-14,19 oktober 2024,19:00,Genomförd,,,
BOK-000032,MED-10354,BAS,2022-10-05,27/09/2024,349,1994,PASS-2024-07-11-032,Spinning,Örebro,Oscar Holm,2024-07-10,2024-07-11,09:00,Genomförd,,,
BOK-000033,MED-10256,Student,2023-05-05,2025-05-04,249,1982,PASS-2024-12-24-033,HIIT,Lund,Fredrik Berg,2024-12-21,2024-12-24,17:00,Genomförd,,,
BOK-000034,MED-10364,STUDENT,2022-09-16,2024-11-19,249,1986,PASS-2024-10-06-034,Yoga,Västerås,,2024-10-05,2024-10-06,17:00,Avbokad,,,
BOK-000035,MED-10292,Premium,2024-01-05,2024-09-25,599,1992,PASS-2024-09-01-035,Zumba,Linköping,Emma Larsson,2024-08-30,2024-09-01,17:30,Genomförd,Instruktören verkade ointresserad och omotiverande.,2024-09-02,2
BOK-000036,MED-10308,Grund,2023-06-20,2025-04-19,349,1988,PASS-2024-09-21-036,Spinning,Lund,Fredrik Berg,2024-09-19,2024-09-21,16:00,Genomförd,Toppen! Fredrik är fantastisk som alltid.,2024-09-21,4
BOK-000037,MED-10324,Bas,2022-08-23,2024-09-14,349,1998,PASS-2024-12-20-037,Yoga,Uppsala,Lisa Andersson,2024-12-18,2024-12-20,09:00,GENOMFÖRD,"Godkänt pass, lite kort kanske.",2024-12-21,3
BOK-000038,MED-10169,Student,2023-10-28,2025-02-27,249,1999,PASS-2024-10-11-038,spinning,Göteborg Hisingen,Sara Nilsson,2024-10-05,2024-10-11,19:00,GENOMFÖRD,,,
BOK-000039,MED-10034,Premium,2022-11-27,2025-05-28,599,1987,PASS-2024-12-26-039,Yoga,Uppsala,Lisa Andersson,2024-12-25,2024-12-26,18:00,Avbokad,,,
BOK-000040,MED-10219,Premium,2023-01-22,2024-10-31,599,1986,PASS-2024-08-20-040,Spinning,Göteborg Hisingen,Sara Nilsson,2024-08-18,2024-08-20,17:30,Genomförd,,,
BOK-000041,MED-10152,Bas,2023-02-03,2024-10-27,349,1998,PASS-2024-12-20-041,Styrketräning,,Oscar Holm,2024-12-17,2024-12-20,17:30,Genomförd,"Underbar träning, kommer definitivt igen!",2024-12-21,5
BOK-000042,MED-10287,Premium,2022-08-17,2024-11-10,599,1988,PASS-2024-10-07-042,Intervall,Linköping,Emma Larsson,2024-10-03,2024-10-07,12:00,Genomförd,Lokalen var smutsig och dåligt ventilerad.,2024-10-08,2
BOK-000043,MED-10178,Gold,2023-11-17,2025-02-07,599,1995,PASS-2024-07-09-043,HIIT,Stockholm City,Erik Johansson,2024-07-08,2024-07-09,18:30,Genomförd,,,
BOK-000044,MED-10069,Premium,2023-09-23,2025-02-15,599,1995,PASS-2024-12-21-044,Spinning,Göteborg Hisingen,Sara Nilsson,2024-12-14,2024-12-21,20:30,Genomförd,Lokalen var smutsig och dåligt ventilerad.,2024-12-22,2
BOK-000045,MED-10183,Premium,7 april 2024,09/06/2025,599,1986,PASS-2024-12-10-045,HIIT,City,Erik Johansson,2024-12-14,2024-12-10,08:00,Genomförd,Dålig musik och tråkiga övningar.,2024-12-11,2
BOK-000046,MED-10156,Bas,2023-05-14,2023-01-17,349,1975,PASS-2024-07-14-046,Spinning,Lund,Fredrik Berg,2024-07-13,2024-07-14,12:00,Missad,,,
BOK-000047,MED-10346,Bas,2023-11-16,2025-02-24,349,2003,PASS-2024-08-04-047,Yoga,Göteborg Centrum,Maria Santos,2024-08-03,2024-08-04,17:00,Genomförd,"Lugn och avslappnande yoga, precis vad jag behövde.",2024-08-04,5
BOK-000048,MED-10337,Bas,2023-06-05,2024-10-05,349,1997,PASS-2024-12-24-048,Yoga,Uppsala,Lisa Andersson,2024-12-19,2024-12-24,17:00,Genomförd,"Lugn och avslappnande yoga, precis vad jag behövde.",2024-12-25,4
BOK-000049,MED-10020,Premium,2022-10-30,2025-02-07,599,1978,PASS-2024-07-04-049,HIIT,Stockholm Södermalm,Anna Lindberg,2024-06-28,2024-07-04,16:00,Deltog,"Underbar träning, kommer definitivt igen!",2024-07-04,5
BOK-000050,MED-10341,Premium,2023-07-05,2024-11-25,599,1989,PASS-2024-12-03-050,Spinning,Lund,Fredrik Berg,2024-11-27,2024-12-03,07:00,no-show,,,
BOK-000051,MED-10184,Premium,2022-08-18,2025-05-08,599,2000,PASS-2024-11-05-051,HIIT,Stockholm Södermalm,Anna Lindberg,2024-11-03,2024-11-05,18:30,Genomförd,Gör vad det ska. Kunde varit mer utmanande.,2024-11-05,3
BOK-000052,MED-10061,Student,2023-08-14,2025-04-03,249,1995,PASS-2024-10-04-052,Dans,,Emma Larsson,03/10/2024,4 oktober 2024,07:30,Genomförd,"Fungerar, men jag föredrar morgonpassen.",2024-10-05,3
BOK-000053,MED-10004,Premium,2022-11-21,2025-04-01,599,1996,PASS-2024-12-10-053,HIIT,Sthlm Kungsholmen,Marcus Ek,2024-12-06,2024-12-10,18:00,Genomförd,Fantastiskt pass! Marcus är så energisk och motiverande.,2024-12-10,5
BOK-000054,MED-10201,Student,2024-03-20,2024-10-22,249,1983,PASS-2024-09-19-054,HIIT,Lund,Fredrik Berg,2024-09-17,2024-09-19,17:00,Genomförd,Tekniken visades inte ordentligt. Risk för skador.,2024-09-19,2
BOK-000055,MED-10207,Bas,2022-07-14,2025-01-14,349,1985,PASS-2024-08-14-055,yoga,Malmö Västra Hamnen,David Chen,2024-08-13,2024-08-14,07:00,Genomförd,"Lugn och avslappnande yoga, precis vad jag behövde.",2024-08-14,4
BOK-000056,MED-10370,Premium,2022-07-31,2025-08-04,599,1990,PASS-2024-11-24-056,Styrketräning,Göteborg Hisingen,Sara Nilsson,2024-11-18,2024-11-24,06:30,Deltog,,,
BOK-000057,MED-10278,Bas,2024-04-24,2025-02-01,349,1992,PASS-2024-12-30-057,Pilates,Malmö Västra Hamnen,David Chen,25 december 2024,2024/12/30,19:00,Genomförd,Professionellt och välorganiserat pass.,2024-12-30,5
BOK-000058,MED-10303,Premium,2024-01-24,2025-01-17,599,1940,PASS-2024-08-14-058,Boxning,Sthlm Kungsholmen,Marcus Ek,2024-08-13,2024-08-14,19:00,Genomförd,,,
BOK-000059,MED-10030,Premium,2023-12-23,2025-04-19,599,1991,PASS-2024-09-21-059,SPINNING,Stockholm Södermalm,Anna Lindberg,2024-09-19,2024-09-21,17:00,Genomförd,,,
BOK-000060,MED-10114,Premium,2022-10-17,2025-07-06,599,1992,PASS-2024-09-30-060,Yoga,Västerås,Klara Svensson,2024-09-24,2024-09-30,12:00,Genomförd,,,
BOK-000061,MED-10045,Bas,2022-08-25,2024-09-29,349,1995,PASS-2024-08-12-061,HIIT,,,2024-08-09,2024-08-12,12:00,Genomförd,"Helt okej pass, inget speciellt.",2024-08-13,3
BOK-000062,MED-10087,Bas,2023-03-22,2025-06-13,349,1989,PASS-2024-07-27-062,Spinning,Göteborg Hisingen,Sara Nilsson,2024-07-22,2024-07-27,18:00,Genomförd,Toppen! Sara är fantastisk som alltid.,2024-07-27,4
BOK-000063,MED-10218,Bas,2023-09-02,2025-06-07,349,1993,PASS-2024-07-14-063,HIIT,Stockholm City,Erik Johansson,2024-07-08,14/07/2024,18:00,No-show,,,
BOK-000064,MED-10115,Bas,2023-03-07,2024-12-17,349,1986,PASS-2024-09-06-064,Yoga,Uppsala,Lisa Andersson,2024-08-31,2024-09-06,07:30,Genomförd,"Underbar träning, kommer definitivt igen!",2024-09-07,5
BOK-000065,MED-10229,Premium,2023-08-01,2025-06-26,599,1984,PASS-2024-08-07-065,Yoga,Göteborg Centrum,Maria Santos,2024-07-31,2024-08-07,20:00,Genomförd,Utmanande men roligt. Lagom nivå för mig.,2024-08-07,5
BOK-000066,MED-10076,Bas,2024-01-18,2025-02-24,349,1988,PASS-2024-10-15-066,Yoga,Göteborg Centrum,Maria Santos,2024-10-10,2024-10-15,19:00,Genomförd,,,
BOK-000372,MED-10248,Bas,2023-04-07,2025-06-15,349,1972,PASS-2024-10-05-372,Yoga,Västerås,Klara Svensson,2024-10-01,2024-10-05,18:30,Genomförd,Härlig stämning i gruppen. Kul träning!,2024-10-05,4
BOK-000067,MED-10190,Student,2023-04-02,2025-07-06,249,1996,PASS-2024-09-07-067,HIIT,Stockholm Södermalm,Anna Lindberg,2024-08-31,2024-09-07,18:00,Genomförd,Perfekt tempo och bra musik. Rekommenderas!,2024-09-08,5
BOK-000068,MED-10102,Student,2023-09-08,2024-11-29,249,1992,PASS-2024-07-08-068,Spinning,Stockholm Södermalm,Anna Lindberg,2024-07-02,2024-07-08,18:00,Genomförd,"Helt ok, men har varit på bättre.",2024-07-08,3
BOK-000069,MED-10346,Bas,16/11/2023,2025-02-24,349,2003,PASS-2024-08-26-069,Boxning,Malmö Centrum,Johan Bergström,2024-08-29,2024-08-26,17:30,Avbokad,,,
BOK-000070,MED-10203,Bas,2023-07-26,2025-03-24,349,1980,PASS-2024-11-11-070,Styrketräning,Örebro,Oscar Holm,2024-11-05,2024-11-11,06:30,Genomförd,,,
BOK-000071,MED-10163,Bas,2022-12-15,2025-07-29,349,1997,PASS-2024-12-01-071,Yoga,Västerås,Klara Svensson,2024-11-25,2024-12-01,17:30,Genomförd,,,
BOK-000072,MED-10049,Bas,2023-04-12,2024-12-05,349,2006,PASS-2024-09-14-072,Yoga,Malmö VH,David Chen,2024-09-08,2024-09-14,18:00,Genomförd,Standard yoga. Inget att klaga på.,2024-09-14,3
BOK-000073,MED-10211,Grund,2023-07-09,2024-10-22,349,1981,PASS-2024-09-15-073,Spinning,Stockholm Södermalm,Anna Lindberg,2024-09-13,2024-09-15,07:30,Genomförd,,,
BOK-000074,MED-10219,Premium,2023-01-22,2024-10-31,599,1986,PASS-2024-12-05-074,styrka,Göteborg Hisingen,Sara Nilsson,2024-12-01,2024-12-05,20:00,Avbokad,,,
BOK-000075,MED-10148,BAS,2023-09-17,2024-10-10,349,1983,PASS-2024-09-15-075,Pilates,Västra Hamnen,David Chen,2024-09-09,2024-09-15,12:00,Genomförd,,,
BOK-000076,MED-10010,Student,2022-11-14,2025-01-27,249,1994,PASS-2024-12-17-076,spinning,Stockholm Södermalm,Anna Lindberg,2024-12-14,2024-12-17,19:00,Genomförd,,,
BOK-000077,MED-10360,STUDENT,2023-11-22,2025-02-10,249,1987,PASS-2024-09-30-077,Styrketräning,Göteborg Hisingen,Sara Nilsson,2024-09-24,2024-09-30,17:30,No-show,,,
BOK-000078,MED-10184,Gold,2022-08-18,2025-05-08,599,2000,PASS-2024-09-13-078,Pilates,Västerås,Klara Svensson,12/09/2024,2024-09-13,12:00,Avbokad,,,
BOK-000079,MED-10356,Premium,2023-08-13,2024-10-08,599,1991,PASS-2024-08-12-079,Spinning,Lund,Fredrik Berg,2024-08-05,2024-08-12,20:30,Genomförd,,,
BOK-000080,MED-10295,Bas,2023-09-04,2024-09-25,349,1995,PASS-2024-11-12-080,Spin,Lund,Fredrik Berg,2024-11-06,2024-11-12,20:00,GENOMFÖRD,,,
BOK-000081,MED-10142,Bas,2023-04-14,2024-11-22,349,2006,PASS-2024-09-23-081,Spinning,Sthlm Södermalm,Anna Lindberg,2024-09-19,23 september 2024,17:00,Genomförd,Professionellt och välorganiserat pass.,2024-09-24,5
BOK-000082,MED-10169,Student,2023-10-28,2025-02-27,249,1999,PASS-2024-10-25-082,HIIT,LINKÖPING,Emma Larsson,2024/10/24,2024-10-25,18:30,Avbokad,,,
BOK-000083,MED-10097,Student,2023-10-18,2024-12-10,249,1985,PASS-2024-08-25-083,HIIT,Lund,Fredrik Berg,2024-08-26,2024-08-25,20:00,No-show,,,
BOK-000084,MED-10164,Premium,2022-11-28,2025-05-04,599,1986,PASS-2024-12-16-084,HIIT,Linköping,Emma Larsson,2024-12-11,2024-12-16,12:00,Genomförd,Toppen! Emma är fantastisk som alltid.,2024-12-16,4
BOK-000085,MED-10355,Bas,2023-02-15,18/04/2025,349,1998,PASS-2024-08-15-085,Pilates,Västerås,Klara Svensson,2024-08-08,2024-08-15,17:30,Genomförd,"Helt ok, men har varit på bättre.",2024-08-16,3
BOK-001403,MED-10223,Student,2023-12-27,2025/05/12,249,2006,PASS-2024-07-14-1403,Styrkepass,Göteborg Hisingen,Sara Nilsson,2024-07-07,2024-07-14,17:30,Genomförd,,,
BOK-000086,MED-10121,Bas,2023-11-15,2025/03/14,349,2002,PASS-2024-12-13-086,HIIT,Linköping,Emma Larsson,2024-12-12,2024-12-13,17:30,Genomförd,,,
BOK-000087,MED-10090,Bas,25 maj 2023,2024-09-19,349,1989,PASS-2024-08-19-087,Hatha Yoga,Västerås,Klara Svensson,2024-08-17,2024-08-19,07:30,Genomförd,Instruktören var superbra på att korrigera tekniken.,2024-08-19,5
BOK-000088,MED-10278,Bas,2024-04-24,2025/02/01,349,1992,PASS-2024-10-15-088,HIIT,Linköping,Emma Larsson,2024-10-13,2024-10-15,07:00,Genomförd,Professionellt och välorganiserat pass.,2024-10-16,4
BOK-000089,MED-10263,Bas,2022-08-10,2022-06-25,349,1998,PASS-2024-10-04-089,HIIT,Linköping,Emma Larsson,2024-10-01,2024-10-04,16:00,Genomförd,,,
BOK-000090,MED-10367,Bas,2024-02-26,2025-06-11,349,1989,PASS-2024-08-09-090,HIIT,Sthlm Kungsholmen,Marcus Ek,2024-08-14,2024-08-09,07:00,Genomförd,Utmanande men roligt. Lagom nivå för mig.,2024-08-10,5
BOK-000091,MED-10080,Bas,2022-07-23,"October 22, 2024",349,1993,PASS-2024-12-17-091,Dans,Linköping,Emma Larsson,"December 13, 2024",2024-12-17,07:30,Genomförd,Instruktören var superbra på att korrigera tekniken.,2024-12-18,4
BOK-000092,MED-10343,Bas,2023-03-13,2025-06-27,349,1994,PASS-2024-08-19-092,Styrketräning,Örebro,Oscar Holm,2024-08-14,2024-08-19,18:30,Genomförd,Lokalen var smutsig och dåligt ventilerad.,2024-08-20,1
BOK-000093,MED-10223,Student,2023-12-27,2025-05-12,249,2006,PASS-2024-12-30-093,Dans,UPPSALA,Lisa Andersson,2024-12-26,2024-12-30,07:30,Genomförd,"Underbar träning, kommer definitivt igen!",2024-12-30,5
BOK-000094,MED-10278,Bas,2024-04-24,2025-02-01,349,1992,PASS-2024-09-05-094,HIIT,Linköping,Emma Larsson,2024-09-03,2024-09-05,17:30,Genomförd,,,
BOK-000095,MED-10249,Bas,2023-12-05,2024-10-09,349,1989,PASS-2024-07-11-095,Spinning,Malmö Centrum,Johan Bergström,2024-07-09,2024-07-11,09:00,Avbokad,,,
BOK-000096,MED-10300,Premium,01/05/2024,2024-09-30,599,2001,PASS-2024-10-02-096,YOGA,Västerås,Klara Svensson,2024-09-28,2024-10-02,17:00,GENOMFÖRD,Härlig stämning i gruppen. Kul träning!,2024-10-03,4
BOK-000097,MED-10011,Student,2023/05/28,2025-06-21,249,1998,PASS-2024-12-13-097,Spinning,Malmö Centrum,Johan Bergström,2024-12-07,2024-12-13,17:30,Genomförd,Perfekt tempo och bra musik. Rekommenderas!,2024-12-14,5
BOK-000098,MED-10305,STUDENT,2023-02-23,2025-05-15,-449,1991,PASS-2024-10-25-098,Styrketräning,Örebro,Oscar Holm,2024-10-24,2024-10-25,17:00,Genomförd,,,
BOK-000099,MED-10219,premium,2023-01-22,2024-10-31,599,1940,PASS-2024-07-12-099,Fightpass,Malmö Centrum,Johan Bergström,2024-07-08,2024-07-12,18:00,Genomförd,,,
BOK-000100,MED-10333,Bas,2024-05-25,2024-12-12,349,1997,PASS-2024-10-18-100,Spinning,Örebro,Oscar Holm,2024-10-13,2024-10-18,09:00,Genomförd,"Lugn och avslappnande spinning, precis vad jag behövde.",2024-10-19,4
BOK-000101,MED-10281,Bas,2023-12-26,2025-03-30,349,1991,PASS-2024-09-25-101,styrka,Örebro,Oscar Holm,2024-09-19,2024-09-25,07:30,Avbokad,,,
BOK-000102,MED-10103,Bas,2024-04-23,2024-10-24,349,2005,PASS-2024-11-04-102,Pilates,VÄSTERÅS,Klara Svensson,28/10/2024,2024-11-04,08:00,Genomförd,Fantastiskt pass! Klara är så energisk och motiverande.,2024-11-05,5
BOK-000103,MED-10206,Bas,2023-10-11,2025-06-20,349,1985,PASS-2024-08-19-103,Styrketräning,Örebro,Oscar Holm,2024-08-15,2024-08-19,09:00,Genomförd,,,
BOK-000104,MED-10034,Premium,2022-11-27,2025-05-28,599,1987,PASS-2024-11-01-104,Spinning,Göteborg Hisingen,Sara Nilsson,2024-10-30,2024-11-01,17:30,Genomförd,"Fungerar, men jag föredrar morgonpassen.",2024-11-01,3
BOK-000105,MED-10127,Bas,"March 06, 2023",2025-07-09,349,2003,PASS-2024-08-28-105,Spinning,Örebro,Oscar Holm,2024-08-27,2024-08-28,07:30,No-show,,,
BOK-000106,MED-10216,Bas,2023-04-05,2024-09-26,349,1998,PASS-2024-08-02-106,Yoga,Malmö Västra Hamnen,David Chen,29/07/2024,2024-08-02,16:00,Genomförd,Bästa yogapasset jag varit på. Kommer tillbaka!,2024-08-03,5
BOK-000107,MED-10092,Bas,2023-04-12,2025-07-13,349,1997,PASS-2024-10-24-107,styrka,Örebro,Oscar Holm,2024-10-18,2024-10-24,20:00,No-show,,,
BOK-000108,MED-10050,Premium,2023-06-05,2025-04-03,599,1992,PASS-2024-11-23-108,Spinning,Lund,Fredrik Berg,2024-11-16,2024-11-23,07:00,Genomförd,Instruktören var superbra på att korrigera tekniken.,2024-11-24,5
BOK-000109,MED-10146,Premium,2023-07-02,2025-02-08,599,1996,PASS-2024-07-21-109,Yoga,Malmö Västra Hamnen,David Chen,2024-07-15,21/07/2024,18:30,Genomförd,"Musiken var alldeles för hög, kunde inte höra instruktionerna.",2024-07-22,2
BOK-000110,MED-10358,Bas,16 oktober 2022,2025-06-09,349,1988,PASS-2024-09-03-110,Spinning,,Fredrik Berg,2024-08-30,2024-09-03,08:00,No-show,,,
BOK-000111,MED-10243,Premium,2022-08-25,2025-01-24,-349,,PASS-2024-09-22-111,Pilates,Malmö Västra Hamnen,David Chen,2024-09-20,2024-09-22,17:00,GENOMFÖRD,"Godkänt pass, lite kort kanske.",2024-09-23,3
BOK-000112,MED-10149,Bas,2024-04-09,2025-02-25,349,1994,PASS-2024-10-19-112,Styrketräning,Örebro,Oscar Holm,2024-10-14,2024-10-19,18:00,Genomförd,,,
BOK-000113,MED-10148,Bas,2023-09-17,2024-10-10,349,1983,PASS-2024-07-18-113,HIIT,Stockholm City,Erik Johansson,2024-07-15,2024-07-18,17:00,Genomförd,Instruktören kom försent och passet blev förkortat.,2024-07-18,2
BOK-000114,MED-10092,BAS,2023-04-12,2025-07-13,349,1997,PASS-2024-07-19-114,Boxning,Malmö Centrum,Johan Bergström,2024-07-12,2024-07-19,18:00,Avbokad,,,
BOK-000115,MED-10246,Premium,2024-05-03,2024-03-24,599,1990,PASS-2024-11-11-115,Pilates,Västerås,Klara Svensson,2024-11-10,2024-11-11,08:00,Genomförd,Härlig stämning i gruppen. Kul träning!,2024-11-11,4
BOK-000116,MED-10330,Bas,2022-12-25,2024-10-27,349,1987,PASS-2024-09-30-116,Yoga,Göteborg Centrum,Maria Santos,28 september 2024,2024-09-30,07:00,Genomförd,Härlig stämning i gruppen. Kul träning!,2024-10-01,5
BOK-000117,MED-10230,Bas,2024-01-01,2025/04/15,349,2000,PASS-2024-07-18-117,Dans,Uppsala,Lisa Andersson,2024-07-14,2024-07-18,17:00,Avbokad,,,
BOK-000118,MED-10337,Bas,5 juni 2023,2024-10-05,349,1997,PASS-2024-07-29-118,Styrketräning,Stockholm City,Erik Johansson,2024-07-27,2024-07-29,18:30,NO-SHOW,,,
BOK-000119,MED-10188,Bas,2024-04-08,2024-11-15,349,1998,PASS-2024-10-15-119,Spinning,Lund,Fredrik Berg,2024-10-12,15/10/2024,18:00,Genomförd,,,
BOK-000120,MED-10053,Student,2023-11-18,2024-12-05,249,1985,PASS-2024-12-18-120,Yoga,Göteborg Centrum,Maria Santos,2024-12-16,2024-12-18,20:00,Genomförd,,,
BOK-000121,MED-10305,Student,2023-02-23,2025-05-15,249,1991,PASS-2024-09-11-121,Indoor Cycling,Stockholm Södermalm,Anna Lindberg,2024-09-09,2024-09-11,18:00,Genomförd,,,
BOK-000122,MED-10353,Premium,2023-02-07,2025-04-13,599,1992,PASS-2024-11-01-122,Spinning,Lund,Fredrik Berg,2024-10-29,2024-11-01,17:00,Avbokad,,,
